Package,Class,Lines of Code,Cyclomatic Complexity,Weight Methods per Class,Depth of Inheritance Tree,Number of Children,Coupling between Objects,Response for Class,Lack of Cohesion of Methods
com.facebook.rebound.example,MainActivity.java,55,4,4,2,0,1,6,3
com.facebook.rebound.playground.app,Util.java,17,1,1,1,0,1,1,0
com.facebook.rebound.playground.app,RowView.java,33,5,5,0,0,1,7,3
com.facebook.rebound.playground.app,ExampleContainerView.java,87,17,17,0,2,1,14,8
com.facebook.rebound.playground.app,PlaygroundActivity.java,188,27,26,1,0,2,7,3
com.facebook.rebound.playground.examples,SpringChainExample.java,116,3,3,0,0,1,3,2
com.facebook.rebound.playground.examples,BallExample.java,199,16,16,0,0,1,17,7
com.facebook.rebound.playground.examples,SpringScrollViewExample.java,30,2,2,0,0,1,1,0
com.facebook.rebound.playground.examples,PhotoGalleryExample.java,143,8,8,0,0,1,11,3
com.facebook.rebound.playground.examples,SimpleExample.java,63,6,6,2,0,1,5,3
com.facebook.rebound.playground.examples,OrigamiExample.java,92,6,6,0,0,1,7,3
com.facebook.rebound.playground.examples.scrollview,SpringScrollView.java,955,140,140,0,0,3,184,31
com.facebook.rebound.playground.examples.scrollview,ExampleRowView.java,20,2,2,0,0,1,3,0
com.facebook.rebound.playground.examples.scrollview,SpringOverScroller.java,116,29,29,1,0,1,25,14
com.facebook.rebound,AnimationQueue.java,82,24,24,0,0,2,14,9
com.facebook.rebound,ChoreographerCompat.java,87,16,16,1,1,1,19,8
com.facebook.rebound,SpringSystem.java,9,2,2,2,0,2,4,0
com.facebook.rebound,AndroidSpringLooperFactory.java,90,14,10,2,0,1,1,0
com.facebook.rebound,SpringChain.java,97,20,20,1,0,3,27,11
com.facebook.rebound.ui,SpringConfiguratorView.java,288,30,27,0,0,1,11,6
com.facebook.rebound.ui,Util.java,25,6,6,1,0,1,10,0
com.facebook.rebound,SimpleSpringListener.java,11,4,4,1,11,1,4,0
com.facebook.rebound,SteppingLooper.java,21,5,5,2,0,1,3,3
com.facebook.rebound,SpringUtil.java,12,2,2,1,0,1,2,0
com.facebook.rebound,BouncyConversion.java,65,14,14,1,0,1,21,5
com.facebook.rebound,SpringLooper.java,9,3,3,1,4,1,3,0
com.facebook.rebound,SpringListener.java,7,4,4,0,7,1,4,0
com.facebook.rebound,SynchronousLooper.java,27,5,5,2,0,1,5,5
com.facebook.rebound,SpringSystemListener.java,5,2,2,0,3,1,2,0
com.facebook.rebound,SpringConfig.java,17,3,3,1,0,2,5,1
com.facebook.rebound,OrigamiValueConverter.java,15,4,4,1,0,1,4,0
com.facebook.rebound,SpringConfigRegistry.java,42,9,9,1,0,1,7,6
com.facebook.rebound,BaseSpringSystem.java,115,26,26,1,1,1,17,12
com.facebook.rebound,Spring.java,252,48,48,1,0,11,62,29
com.facebook.rebound,SpringConfigRegistryTest.java,47,4,4,1,0,1,4,4
com.facebook.rebound,SpringTest.java,262,24,24,1,0,1,30,13
com.facebook.rebound,SpringSystemTest.java,136,11,11,1,2,1,9,9
